id,source_schema,source_table,bronze_table,is_active,created_on,updated_on,target_partitions,pk_columns,batch_group,topic_group,tenant_group,is_modified_on_available
98,FireEvent,FireServiceCasualtyInjuryCauseofInjuryModValue,fireevent_fireservicecasualtyinjurycauseofinjurymodvalue,true,2026-08-12T13:23:30.979098Z,2026-08-12T13:23:30.979098Z,null,FireServiceCasualtyID,1,null,null,true
99,FireEvent,FireServiceCasualtyInjuryFactorModValue,fireevent_fireservicecasualtyinjuryfactormodvalue,true,2026-08-12T13:23:30.979098Z,2026-08-12T13:23:30.979098Z,null,FireServiceCasualtyID,1,null,null,true
100,FireEvent,FireServiceCasualtyInjuryInjuryInsideOutsideModValue,fireevent_fireservicecasualtyinjuryinjuryinsideoutsidemodvalue,true,2026-08-12T13:23:30.979098Z,2026-08-12T13:23:30.979098Z,null,FireServiceCasualtyID,1,null,null,true
101,FireEvent,FireServiceCasualtyInjuryObjectInvolvedModValue,fireevent_fireservicecasualtyinjuryobjectinvolvedmodvalue,true,2026-08-12T13:23:30.979098Z,2026-08-12T13:23:30.979098Z,null,FireServiceCasualtyID,1,null,null,true
102,FireEvent,FireServiceCasualtyInjuryPhysicalConditionPriorModValue,fireevent_fireservicecasualtyinjuryphysicalconditionpriormodvalue,true,2026-08-12T13:23:30.979098Z,2026-08-12T13:23:30.979098Z,null,FireServiceCasualtyID,1,null,null,true
103,FireEvent,FireServiceCasualtyInjuryPrimarySymptomModValue,fireevent_fireservicecasualtyinjuryprimarysymptommodvalue,true,2026-08-12T13:23:30.979098Z,2026-08-12T13:23:30.979098Z,null,FireServiceCasualtyID,1,null,null,true
104,FireEvent,FireServiceCasualtyInjurySeverityModValue,fireevent_fireservicecasualtyinjuryseveritymodvalue,true,2026-08-12T13:23:30.979098Z,2026-08-12T13:23:30.979098Z,null,FireServiceCasualtyID,1,null,null,true
105,FireEvent,FireServiceCasualtyLocation,fireevent_fireservicecasualtylocation,true,2026-08-12T13:23:30.979098Z,2026-08-12T13:23:30.979098Z,null,FireServiceCasualtyID,1,null,null,true
106,FireEvent,FireServiceCasualtyLocationSpecificLocationModValue,fireevent_fireservicecasualtylocationspecificlocationmodvalue,true,2026-08-12T13:23:30.979098Z,2026-08-12T13:23:30.979098Z,null,FireServiceCasualtyID,1,null,null,true
107,FireEvent,FireServiceCasualtyLocationTransportedModValue,fireevent_fireservicecasualtylocationtransportedmodvalue,true,2026-08-12T13:23:30.979098Z,2026-08-12T13:23:30.979098Z,null,FireServiceCasualtyID,1,null,null,true
108,FireEvent,FireServiceCasualtyLocationWhereInjuryOccurredModValue,fireevent_fireservicecasualtylocationwhereinjuryoccurredmodvalue,true,2026-08-12T13:23:30.979098Z,2026-08-12T13:23:30.979098Z,null,FireServiceCasualtyID,1,null,null,true
